Symbol,Year,Month,Open,High,Low,Close,Volume
ETB.CL,2023,4,119.30999755859375,119.30999755859375,104.33999633789062,105.0,2197507
ETB.CL,2023,5,105.0,110.0,92.5,95.87000274658203,581971
ETB.CL,2023,6,100.05000305175781,100.05000305175781,85.30000305175781,85.30000305175781,2977201
ETB.CL,2023,7,85.30000305175781,90.0,84.16999816894531,84.9000015258789,3083703
ETB.CL,2023,8,84.9000015258789,88.9000015258789,80.19999694824219,83.41999816894531,72374081
ETB.CL,2023,9,83.94999694824219,85.0,61.0,80.0,386198
ETB.CL,2023,10,80.0,85.0,68.26000213623047,72.25,2159968
ETB.CL,2023,11,78.69999694824219,78.69999694824219,78.5,78.5,1081750
ETB.CL,2023,12,78.5,95.0,78.0,95.0,3446133
ETB.CL,2024,1,95.0,109.0,88.0,106.0,7527186
ETB.CL,2024,2,106.0,106.0,90.5,95.0,2147196
ETB.CL,2024,3,95.0,95.0,95.0,95.0,1549019
ETB.CL,2024,4,95.0,100.0,95.0,100.0,3237903
ETB.CL,2024,5,100.0,100.0,90.0,90.0,4433999
ETB.CL,2024,6,90.0,95.0,90.0,95.0,3847484
EXITO.CL,2020,1,4626.66650390625,4626.66650390625,4120.0,4600.0,2087634
EXITO.CL,2020,2,4753.33349609375,5426.66650390625,4493.33349609375,5253.33349609375,4635417
EXITO.CL,2020,3,5253.33349609375,5566.66650390625,3826.666748046875,4026.666748046875,1490823
EXITO.CL,2020,4,3920.0,4133.33349609375,3666.666748046875,3900.0,1657110
EXITO.CL,2020,5,3900.0,3980.0,3333.333251953125,3333.333251953125,681093
EXITO.CL,2020,6,3566.666748046875,3686.666748046875,3266.666748046875,3333.333251953125,1427358
EXITO.CL,2020,7,3393.333251953125,3580.0,3323.333251953125,3433.333251953125,2398848
EXITO.CL,2020,8,3433.333251953125,3833.333251953125,3433.333251953125,3766.666748046875,2049168
EXITO.CL,2020,9,3853.333251953125,3873.333251953125,3666.666748046875,3733.333251953125,450921
EXITO.CL,2020,10,3733.333251953125,3766.666748046875,3433.333251953125,3573.333251953125,698196
EXITO.CL,2020,11,3573.333251953125,4443.33349609375,3573.333251953125,4266.66650390625,857760
EXITO.CL,2020,12,4333.33349609375,4766.66650390625,4153.33349609375,4630.0,777648
EXITO.CL,2021,1,4630.0,4650.0,4373.33349609375,4506.66650390625,555141
EXITO.CL,2021,2,4506.66650390625,4613.33349609375,4483.33349609375,4550.0,409707
EXITO.CL,2021,3,4550.0,4613.33349609375,4343.33349609375,4560.0,1075275
EXITO.CL,2021,4,4560.0,4560.0,3670.0,3890.0,357615
EXITO.CL,2021,5,3900.0,4500.0,3670.0,4000.0,1434774
EXITO.CL,2021,6,4000.0,4806.66650390625,3700.0,4533.33349609375,724530
EXITO.CL,2021,7,4480.0,4480.0,3703.333251953125,4286.66650390625,1217487
EXITO.CL,2021,8,4286.66650390625,4286.66650390625,3936.666748046875,4146.66650390625,212547
EXITO.CL,2021,9,4160.0,4160.0,3833.333251953125,3883.333251953125,913656
EXITO.CL,2021,10,3883.333251953125,4013.333251953125,3796.666748046875,3900.0,1601922
